place_id,place_name,api_query,grid_id,weight,priority,review_status,place_code,category
PLACE_063,DDP(동대문디자인플라자),DDP(동대문디자인플라자),5*2*2*7*,1.0,P1,CODE_MATCHED,POI083,발달상권
PLACE_030,가산디지털단지역,가산디지털단지역,5*1*2*8*,1.0,P1,CODE_MATCHED,POI013,인구밀집지역
PLACE_026,강남역,강남역,5*1*1*2*,1.0,P1,CODE_MATCHED,POI014,인구밀집지역
PLACE_021,경복궁,경복궁,5*0*9*3*,1.0,P1,CODE_MATCHED,POI008,고궁·문화유산
PLACE_074,미아사거리역,미아사거리역,5*2*5*1*,1.0,P1,CODE_MATCHED,POI026,인구밀집지역
PLACE_041,보신각,보신각,5*1*6*9*,1.0,P1,CODE_MATCHED,POI010,고궁·문화유산
PLACE_034,사당역,사당역,5*1*3*9*,1.0,P1,CODE_MATCHED,POI029,인구밀집지역
PLACE_018,서울대입구역,서울대입구역,5*0*8*7*,1.0,P1,CODE_MATCHED,POI031,인구밀집지역
PLACE_017,선릉역,선릉역,5*0*8*6*,1.0,P1,CODE_MATCHED,POI034,인구밀집지역
PLACE_055,성수카페거리,성수카페거리,5*2*0*1*,1.0,P1,CODE_MATCHED,POI068,발달상권
PLACE_001,성신여대입구역,성신여대입구역,5*0*0*0*,1.0,P1,CODE_MATCHED,POI035,인구밀집지역
PLACE_029,신논현역·논현역,신논현역·논현역,5*1*2*6*,1.0,P1,CODE_MATCHED,POI037,인구밀집지역
PLACE_024,신촌·이대역,신촌·이대역,5*1*0*8*,1.0,P1,CODE_MATCHED,POI040,인구밀집지역
PLACE_038,오목교역·목동운동장,오목교역·목동운동장,5*1*5*8*,1.0,P1,CODE_MATCHED,POI044,인구밀집지역
PLACE_046,이태원 관광특구,이태원 관광특구,5*1*7*8*,1.0,P1,CODE_MATCHED,POI004,관광특구
PLACE_015,이태원역,이태원역,5*0*5*5*,1.0,P1,CODE_MATCHED,POI047,인구밀집지역
PLACE_010,장한평역,장한평역,5*0*3*8*,1.0,P1,CODE_MATCHED,POI049,인구밀집지역
PLACE_032,합정역,합정역,5*1*3*4*,1.0,P1,CODE_MATCHED,POI053,인구밀집지역
PLACE_016,혜화역,혜화역,5*0*8*5*,1.0,P1,CODE_MATCHED,POI054,인구밀집지역
