category,place_name
고궁·문화유산,경복궁
고궁·문화유산,광화문·덕수궁
고궁·문화유산,보신각
고궁·문화유산,서울 암사동 유적
고궁·문화유산,창덕궁·종묘
관광특구,강남 MICE 관광특구
관광특구,동대문 관광특구
관광특구,명동 관광특구
관광특구,이태원 관광특구
관광특구,잠실 관광특구
관광특구,종로·청계 관광특구
관광특구,홍대 관광특구
공원,강서한강공원
공원,고척돔
공원,광나루한강공원
공원,광화문광장
공원,국립중앙박물관·용산가족공원
공원,난지한강공원
공원,남산공원
공원,노들섬
공원,뚝섬한강공원
공원,망원한강공원
공원,반포한강공원
공원,보라매공원
공원,북서울꿈의숲
공원,서대문독립공원
공원,서리풀공원·몽마르뜨공원
공원,서울대공원
공원,서울숲공원
공원,송현녹지광장
공원,아차산
공원,안양천
공원,양화한강공원
공원,어린이대공원
공원,여의도한강공원
공원,여의서로
공원,올림픽공원
공원,월드컵공원
공원,응봉산
공원,이촌한강공원
공원,잠실종합운동장
공원,잠실한강공원
공원,잠원한강공원
공원,청계산
공원,홍제폭포
발달상권,가락시장
발달상권,가로수길
발달상권,광장(전통)시장
발달상권,김포공항
발달상권,남대문시장
발달상권,노량진
발달상권,덕수궁길·정동길
발달상권,북창동 먹자골목
발달상권,북촌한옥마을
발달상권,서촌
발달상권,성수카페거리
발달상권,송리단길·호수단길
발달상권,신촌 스타광장
발달상권,압구정로데오거리
발달상권,여의도
발달상권,연남동
발달상권,영등포 타임스퀘어
발달상권,용리단길
발달상권,이태원 앤틱가구거리
발달상권,익선동
발달상권,인사동
발달상권,잠실롯데타워·석촌호수
발달상권,창동 신경제 중심지
발달상권,청담동 명품거리
발달상권,청량리 제기동 일대 전통시장
발달상권,해방촌·경리단길
발달상권,DDP(동대문디자인플라자)
발달상권,DMC(디지털미디어시티)
인구밀집지역,가산디지털단지역
인구밀집지역,강남역
인구밀집지역,건대입구역
인구밀집지역,고덕역
인구밀집지역,고속터미널역
인구밀집지역,교대역
인구밀집지역,구로디지털단지역
인구밀집지역,구로역
인구밀집지역,군자역
인구밀집지역,대림역
인구밀집지역,동대문역
인구밀집지역,뚝섬역
인구밀집지역,미아사거리역
인구밀집지역,발산역
인구밀집지역,사당역
인구밀집지역,삼각지역
인구밀집지역,서울대입구역
인구밀집지역,서울식물원·마곡나루역
인구밀집지역,서울역
인구밀집지역,선릉역
인구밀집지역,성신여대입구역
인구밀집지역,수유역
인구밀집지역,숭례문
인구밀집지역,시의회 앞
인구밀집지역,신논현역·논현역
인구밀집지역,신도림역
인구밀집지역,신림역
인구밀집지역,신정네거리역
인구밀집지역,신촌·이대역
인구밀집지역,쌍문역
인구밀집지역,양재역
인구밀집지역,역삼역
인구밀집지역,연신내역
인구밀집지역,오목교역·목동운동장
인구밀집지역,왕십리역
인구밀집지역,용산역
인구밀집지역,이태원역
인구밀집지역,잠실새내역
인구밀집지역,잠실역
인구밀집지역,장지역
인구밀집지역,장한평역
인구밀집지역,천호역
인구밀집지역,총신대입구(이수)역
인구밀집지역,충정로역
인구밀집지역,합정역
인구밀집지역,혜화역
인구밀집지역,홍대입구역(2호선)
인구밀집지역,회기역
