timestamp,grid_id,base_score,correction_score,final_score,lon,lat
2017-11-05 21:00:00,5*0*8*7*,4.142178,0.07249306,4.214671,198185.5350845515,554473.7081495282
2017-10-04 23:00:00,5*1*8*5*,2.613986,0.05783302,2.671819,196560.901794732,555624.6823771483
2017-05-01 00:00:00,5*2*0*6*,3.7085629,0.031239219,3.7398021,197619.4508677466,554086.7935316691
2017-08-03 06:00:00,5*2*0*6*,3.7085629,0.032928746,3.7414916,197619.4508677466,554086.7935316691
2018-02-02 18:00:00,5*2*5*9*,3.5695157,0.026992578,3.5965083,197084.54634406324,554702.8040153952
2017-10-07 07:00:00,5*2*7*3*,3.958821,0.021129087,3.9799502,198487.24485566924,555905.3966182405
2017-12-06 05:00:00,5*2*9*0*,4.152464,0.046225004,4.198689,197786.9982669976,554733.0223622102
2018-01-01 20:00:00,5*2*9*0*,4.152464,0.10553409,4.257998,197786.9982669976,554733.0223622102
2017-11-04 05:00:00,5*3*9*0*,4.298562,0.09736942,4.3959312,197735.1892013934,553890.9511626634
2018-02-05 20:00:00,5*3*9*0*,4.298562,0.063128896,4.361691,197735.1892013934,553890.9511626634
2017-03-06 13:00:00,5*3*9*1*,4.12179,0.04574707,4.167537,197059.4180793775,554542.0514312965
2018-02-07 20:00:00,5*4*3*9*,3.0216522,0.035920717,3.0575728,198291.77474540475,556121.4645900701
