metric,count,mean,std,min,25%,50%,75%,max,timestamp,time_mean,time_max,time_min
base_score,12.0,3.8122596740722656,0.528457760810852,2.613986015319824,3.673801064491272,4.040305495262146,4.152463912963867,4.298562049865723,,,,
correction_score,12.0,0.05304507538676262,0.02729155495762825,0.02112908661365509,0.0325063643977046,0.04598603770136833,0.06546993739902973,0.10553409159183502,,,,
final_score,12.0,3.865304946899414,0.5393627285957336,2.671818971633911,3.703978657722473,4.07374370098114,4.225502848625183,4.395931243896484,,,,
,,,,,,,,,2017-03-06 13:00:00,4.167537,4.167537,4.167537
,,,,,,,,,2017-05-01 00:00:00,3.7398021,3.7398021,3.7398021
,,,,,,,,,2017-08-03 06:00:00,3.7414916,3.7414916,3.7414916
,,,,,,,,,2017-10-04 23:00:00,2.671819,2.671819,2.671819
,,,,,,,,,2017-10-07 07:00:00,3.9799502,3.9799502,3.9799502
,,,,,,,,,2017-11-04 05:00:00,4.3959312,4.3959312,4.3959312
,,,,,,,,,2017-11-05 21:00:00,4.214671,4.214671,4.214671
,,,,,,,,,2017-12-06 05:00:00,4.198689,4.198689,4.198689
,,,,,,,,,2018-01-01 20:00:00,4.257998,4.257998,4.257998
,,,,,,,,,2018-02-02 18:00:00,3.5965083,3.5965083,3.5965083
,,,,,,,,,2018-02-05 20:00:00,4.361691,4.361691,4.361691
,,,,,,,,,2018-02-07 20:00:00,3.0575728,3.0575728,3.0575728
